guid,nyu.libraries.collection,dc.title,dc.identifier,dc.subject.controlled,dc.description
vbl001,VBL,Statistical Insight,https://ezproxy.library.nyu.edu/login?url=http://www.lexis-nexis.com/statuniv,"Industry Information, Economic & Statistical Resources, Country Information,  Information","Statistical Insight provides fast and easy access to statistical information produced by U.S. Federal agencies, States, private organizations, and major intergovernmental organizations. "
vbl002,VBL,ABI/Inform,http://search.proquest.com/abicomplete/advanced?accountid=12768,Journals/Newspapers/Books,"ABI/Inform Dateline- Contains complete articles from hundreds of local and regional publications that chronicle the day-to-day operations of thousands of U.S. and Canadian companies. Important business trends and events as well as regional market and economic conditions also receive considerable coverage. Coverage dates: 1985 ñ present                                                                                                          ABI/INFORM Global Direct- Periodical database specializing in business literature, including full text of over 1920 of the 2890 ABI/Inform titles. All titles are indexed and abstracted. Also included in ProQuest are Newspapers and General Periodicals. Coverage varies from 1971 - present                                                               ABI/INFORM Trade & Industry - Search more than 1200 business periodicals and newsletters with a trade or industry focus. Provides users with the latest industry news, product and competitive information,  trends, and a wide variety of other topics. Contains publications on every major industry, including finance, insurance, transportation, construction, and many more. Coverage dates: 1971 - present"
vbl003,VBL,Access World News ,https://ezproxy.library.nyu.edu/login?url=http://infoweb.newsbank.com/?db=AWNB,Journals/Newspapers/Books,"Full-text content of over 2,200 North American newspapers and more than 1,200 international newspapers, plus 300 wire services and over 200 broadcast news transcripts. Covers local, regional, and world issues, politics, government policies, sports, industries, cultural activities, schools, and the people and events in the community"
vbl004,VBL,Accounting & Tax (ProQuest)  ,https://ezproxy.library.nyu.edu/login?url=http://proquest.umi.com/login?COPT=REJTPUcxK2ZiNys1JklOVD0wJlZFUj0y&clientId=9269,Journals/Newspapers/Books,"Provides access to top accounting journals and trade publications, reference reports, proceedings, and dissertations, etc. "
